#,Age:,Gender:,UK Location:,Geographic Location:,Education Level:,Occupation:,Other,Annual Household Income:,How often do you use cash for transactions?,How often do you use debit cards for transactions?,How often do you use credit cards for transactions?,Do you use online banking?,Do you use mobile banking?,"Have you ever used peer-to-peer payment services (e.g., PayPal)?",Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),Aave,MakerDAO,Uniswap,Curve Finance,Revolut,Wirex,BitPay,Other,Do you currently own or use any Decentralized payment systems (DPS) ?,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),Aave,MakerDAO,Uniswap,Curve Finance,Revolut,Wirex,BitPay,Other,How often do you use Decentralized payment systems (DPS)  for transactions?,Primary reasons for using Decentralized payment systems (DPS) : (Please select all that apply),Lack of knowledge or understanding,Security concerns,Volatility of prices,Difficulty in purchasing or selling,Lack of acceptance by merchants,Others,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),Aave,MakerDAO,Uniswap,Curve Finance,Revolut,Wirex,BitPay,Other,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),Aave,MakerDAO,Uniswap,Curve Finance,Revolut,Wirex,BitPay,Other,Speed of transactions,Low transaction fees,Security,Potential for high returns,Other,Convenience and speed of transactions.,Lower transaction fees compared to traditional methods.,Access to financial services for the unbanked and underbanked.,Potential for higher investment returns.,Increased control over finances.,Are there any other benefits of using Decentralized payment systems (DPS)  that you would like to mention?,"Security concerns (e.g., hacking, fraud)",Price volatility of Decentralized payment systems (DPS) .,Lack of regulatory protection.,Loss of funds.,Counterparty risk.,Are there any other risks associated with using Decentralized payment systems (DPS)  that you would like to mention?,How much do you trust the security of Decentralized payment systems (DPS)  transactions?,How much do you trust the regulatory framework for Decentralized payment systems (DPS) ?,How much do you trust the long-term stability of Decentralized payment systems (DPS) ?,Do you trust financial institutions to regulate the cryptocurrency market?,How do you perceive the volatility of Decentralized payment systems (DPS) ?,"Please rate your understanding of financial concepts (e.g., interest rates, inflation, investment):",Investment in Decentralized payment systems (DPS)  is a good idea.,Governments should regulate Decentralized payment systems (DPS)  more strictly.,What are your overall thoughts and opinions about?,"*Financial Inclusion:*
Decentralized payment systems (DPS)  can increase financial inclusion for the unbanked and underbanked population.","*Financial Inclusion: *
Decentralized payment systems (DPS)  can reduce reliance on traditional financial institutions.","*Efficiency and Speed*: 
Decentralized payment systems (DPS)  offers faster and more efficient transaction processing.","*Efficiency and Speed*: 
Decentralized payment systems (DPS)  can reduce transaction costs.","*Security and Transparency: *
Decentralized payment systems (DPS)  enhances transparency in financial transactions.","*Security and Transparency: *
Decentralized payment systems (DPS)  provides a higher level of security than traditional payment methods.","*Control and Ownership: *
Decentralized payment systems (DPS)  gives individuals more control over their finances.","*Control and Ownership: *
Decentralized payment systems (DPS)  promotes ownership of financial assets.","*Innovation and Competition: *
Decentralized payment systems (DPS)  fosters innovation in the payment industry.","*Innovation and Competition: *
Decentralized payment systems (DPS)  increases competition among payment providers.",Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags
edpgfskvf3c557cedppk080jsqacp95j,25-34,Female,England,Urban,Postgraduate,Professional/Managerial,,"£20,000-£40,000",Daily,Weekly,Rarely,Yes,Yes,No,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),Aave,,,Curve Finance,Revolut,,BitPay,,No,,,,,,,,,,,,,,Rarely,Making payments,Lack of knowledge or understanding,Security concerns,Volatility of prices,,Lack of acceptance by merchants,,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),Aave,,,Curve Finance,Revolut,,,,Bitcoin,,,,,,,,,,,,,,,,Potential for high returns,,High,Neutral,High,Very High,Neutral,,High,High,High,Neutral,Neutral,,Neutral,High,Low,Disagree,Low,Very High,Strongly agree,Agree,,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,completed,2024-08-30 09:36:06,,2024-08-30 09:41:08,74317ccd72,
6wx11vwcprq03x6wx1s0xs2dpxg0l0qu,25-34,Male,England,Urban,College Graduate,Professional/Managerial,,"£20,000-£40,000",Weekly,Daily,Rarely,Yes,Yes,Yes,Bitcoin,,,,,,,,,,,,,Yes,,,Tether (USDT),,,,,,,,,,,Weekly,Making payments,,Security concerns,,,,,,,Tether (USDT),Binance Coin (BNB),,,,,,,,,,,,,Binance Coin (BNB),,,,,,,,,,Speed of transactions,,,,,Very High,Very High,Very High,Very High,Very High,,Very High,Very High,Very High,Very High,Neutral,,Very High,Very High,Very High,Strongly agree,Very high,Very High,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,completed,2024-08-29 21:48:00,,2024-08-29 21:51:53,23c391661c,
tpim2lnxptx7rtzshtpicmuh4fmggn8g,25-34,Female,England,Urban,Postgraduate,Professional/Managerial,,"above £40,000",Rarely,Daily,Daily,Yes,Yes,Yes,,,,,,,,,,Revolut,,,,No,Bitcoin,,,,,,,,,,,,,Rarely,Investing,Lack of knowledge or understanding,,,,,,Bitcoin,,,,,,,,,,,,,Bitcoin,,,,,,,,,,,,,,,Security,,,Neutral,High,High,Low,Neutral,,High,Very High,Very High,Very High,Very High,,Low,Low,Low,Disagree,Neutral,High,Agree,Agree,,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,completed,2024-08-29 19:26:18,,2024-08-29 19:29:51,546bb95dcb,
h0hdtuo9lmaqh0h663hkwkbwj0ip8nq5,45-54,Male,England,Urban,Postgraduate,Skilled Trades,,"£20,000-£40,000",Rarely,Weekly,Weekly,Yes,Yes,Yes,,,,,,,,,,Revolut,,,,Yes,,,,,,,,,,Revolut,,,,Weekly,Making payments,Lack of knowledge or understanding,,,,,,,,,,,,,,,Revolut,,,,,,,,,,,,,Revolut,,,,Speed of transactions,,Security,,,Very High,Neutral,Neutral,Neutral,High,Yes,High,Neutral,High,Low,Neutral,Exposure,High,High,High,Agree,High,High,Agree,Strongly agree,It is a good way to go,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,completed,2024-08-29 19:15:16,,2024-08-29 19:44:42,34920eba5b,
tet3eo1p6make3a8a1tet3ektifw0lab,25-34,Male,England,Urban,Postgraduate,Professional/Managerial,,"above £40,000",Rarely,Daily,Rarely,No,Yes,Yes,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),,,,,Revolut,,,,Yes,,,,,,,,,,,,,,Rarely,Speculation,,,,,,,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),,,,,,,,,Bitcoin,,,,,,,,,,,,,,Low transaction fees,Security,Potential for high returns,,High,High,High,High,High,,Neutral,Neutral,High,Low,Low,,High,High,High,Disagree,Neutral,Very High,Neutral,Disagree,,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,completed,2024-08-29 19:13:38,,2024-08-29 19:18:30,05f454166c,
oyy1yuwmszzirn8eag9oyy1w57nroxul,35-44,Male,England,Urban,Postgraduate,Student,,"Less than £20,000",Daily,Daily,Daily,Yes,Yes,Yes,,,,,,,,,,Revolut,,,,No,,,,,,,,,,Revolut,,,,Daily,Hedging against inflation,Lack of knowledge or understanding,,,,,,,,,,,,,,,Revolut,,,,,,,,,,,,,Revolut,,,,,Low transaction fees,,,,Very High,Very High,Very High,Very High,Very High,No,High,High,High,High,High,No,Very High,Very High,Very High,Strongly agree,High,Very High,Strongly agree,Strongly agree,Decentralised market would aid financial intermediation,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,completed,2024-08-29 19:06:55,,2024-08-29 19:14:22,73cf1a4a90,
dzzvzpdr6jpen87dzzvzyrmixaonjfu1,35-44,Male,England,Urban,College Graduate,Professional/Managerial,,"£20,000-£40,000",Rarely,Weekly,Rarely,No,Yes,Yes,Bitcoin,Ethereum,Tether (USDT),,,,,,,Revolut,,,,Yes,Bitcoin,,,,,,,,,Revolut,,,,Weekly,Making payments,Lack of knowledge or understanding,Security concerns,,,,,Bitcoin,Ethereum,Tether (USDT),,,,,,,Revolut,,,,Bitcoin,Ethereum,Tether (USDT),,,,,,,,,,,Speed of transactions,,,Potential for high returns,,High,Neutral,High,High,Neutral,N/A,Low,High,Low,Neutral,Neutral,N/A,High,Neutral,Neutral,Neutral,High,Neutral,Agree,Agree,N/A,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,completed,2024-08-29 18:11:59,,2024-08-29 19:29:28,14602a3926,
w3qvvl6z2vrrpw3q13vm73gykucqp4nz,25-34,Male,Not in the UK,Urban,Postgraduate,Student,,"£20,000-£40,000",Weekly,Weekly,Rarely,Yes,Yes,Yes,,,,,,,,,,Revolut,,,,Yes,,,,,,,,,,Revolut,,,,Daily,Making payments,,Security concerns,,,,,,,,,,,,,,Revolut,,,,,,,,,,,,,Revolut,,,,Speed of transactions,,Security,,,Very High,High,Very High,Neutral,Very High,,Neutral,Neutral,Neutral,High,Neutral,,High,Neutral,Neutral,Neutral,High,High,Agree,Agree,,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,completed,2024-08-29 17:18:19,,2024-08-29 17:25:21,da52a971c6,
q86mu29812ppqnlikbq86m68mcpjlzk1,45-54,Male,England,Suburban,Postgraduate,Professional/Managerial,,"£20,000-£40,000",Rarely,Daily,Monthly,Yes,Yes,Yes,Bitcoin,Ethereum,,,,,,,,Revolut,,,,Yes,Bitcoin,,,,,,,,,Revolut,,,,Weekly,Investing,Lack of knowledge or understanding,,Volatility of prices,,,,Bitcoin,,,Binance Coin (BNB),,,,,,Revolut,,,,Bitcoin,,,,,,,,,,,,,,,,Potential for high returns,,High,High,Very High,Very High,High,No,High,Very High,Low,Very High,High,No,Very High,High,Low,Agree,High,Very High,Agree,Strongly agree,Regulation is very important,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,completed,2024-08-29 16:35:02,,2024-08-29 16:41:40,2412f7ae9c,
s5qbzsbqf1034d7wddaxs5qbzsbd3za6,25-34,Female,England,Urban,Postgraduate,Student,,"Less than £20,000",Weekly,Weekly,Monthly,Yes,Yes,Yes,Bitcoin,Ethereum,,Binance Coin (BNB),,,,,,Revolut,,,,No,,,,,,,,,,,,,,Rarely,Other,Lack of knowledge or understanding,Security concerns,,,,,Bitcoin,,,,,,,,,,,,,Bitcoin,,,,,,,,,,,,None,,,,,I don’t prefer any of them,Neutral,Neutral,Neutral,High,Low,,High,High,Neutral,Very High,High,,Low,Low,Low,Neutral,Neutral,High,Neutral,Neutral,,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,completed,2024-08-29 16:11:41,,2024-08-29 16:17:58,623a189f83,
gzzkgke6fgyrhen43xi0gzzkga0bvasp,25-34,Female,England,Urban,Postgraduate,Skilled Trades,,"£20,000-£40,000",Rarely,Daily,Monthly,Yes,Yes,Yes,Bitcoin,Ethereum,,,,,,,,Revolut,,,,No,,,,,,,,,,,,,,Rarely,Other,Lack of knowledge or understanding,,,,,,Bitcoin,,,,,,,,,,,,,Bitcoin,,,,,,,,,,,,,,,Security,,,Low,Low,Low,Low,Low,,High,Very High,Neutral,High,Neutral,,High,Neutral,Low,Disagree,High,High,Neutral,Agree,,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Agree,completed,2024-08-29 15:52:49,,2024-08-29 15:56:57,c0b532b962,
oz971xi22bb9vzlg3oz971xa2qa8uq5v,25-34,Male,Not in the UK,Urban,College Graduate,Professional/Managerial,,"Less than £20,000",Weekly,Daily,Rarely,Yes,Yes,No,Bitcoin,Ethereum,Tether (USDT),,,,,,,Revolut,,,,Yes,,,Tether (USDT),,,,,,,Revolut,,,Wise,Monthly,Making payments,Lack of knowledge or understanding,,,,Lack of acceptance by merchants,,Bitcoin,,,,,,,,,Revolut,,,,,,,,,,,,,Revolut,,,,Speed of transactions,Low transaction fees,,,,Very High,High,High,Very High,Very High,N/A,Very High,Very High,Very High,High,High,N/A,Neutral,Neutral,High,Disagree,Neutral,Neutral,Neutral,Neutral,,Agree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,completed,2024-08-29 14:30:45,,2024-08-29 14:39:48,2379ca0e3f,
jx79c7lag9r41ejxmaos7szvwgl97ffi,45-54,Male,England,Urban,Postgraduate,Skilled Trades,,"£20,000-£40,000",Rarely,Weekly,Weekly,Yes,Yes,Yes,Bitcoin,,,,,,,,,,,,,No,Bitcoin,,,,,,,,,,,,,Rarely,Other,Lack of knowledge or understanding,Security concerns,,,Lack of acceptance by merchants,,Bitcoin,,,,,,,,,Revolut,,,,,,,,,,,,,Revolut,,,,Speed of transactions,,Security,,,Neutral,Neutral,High,High,High,NA,Very High,High,Very High,Very High,Very High,NA,Neutral,Neutral,Neutral,Strongly agree,Neutral,High,Strongly agree,Strongly agree,Good,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,completed,2024-08-29 14:28:02,,2024-08-29 14:47:03,1624f3e769,
ficc5pxzvwnvtsdel9xcificc5pxsziu,18-24,Female,Scotland,Urban,College Graduate,Student,,"Less than £20,000",Daily,Weekly,Rarely,Yes,Yes,Yes,Bitcoin,Ethereum,,,,,,,,Revolut,,,,No,,,,,,,,,,,,,,Rarely,Other,Lack of knowledge or understanding,,,,,,Bitcoin,Ethereum,,,,,,,,Revolut,,,,,,,,,,,,,Revolut,,,,,,Security,,,High,Neutral,Neutral,Neutral,Neutral,None,High,Neutral,Neutral,Neutral,High,None,Low,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,completed,2024-08-29 14:21:04,,2024-08-29 15:10:21,64f0e091b6,
1x5diedi1cou2gocdfbt1x5diedlmlv9,45-54,Female,England,Urban,Postgraduate,Student,,"Less than £20,000",Rarely,Rarely,Weekly,Yes,No,No,,,,,,,,,,Revolut,,,,Yes,,,,,,,,,,Revolut,,,,Daily,Making payments,,Security concerns,,,,,,,,,,,,,,Revolut,,,,Bitcoin,,,,,,,,,,,,,,,,Potential for high returns,,Neutral,Neutral,Very Low,Neutral,High,,High,Neutral,Very Low,Very High,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,,Neutral,Neutral,Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Neutral,completed,2024-08-29 14:19:01,,2024-08-29 14:35:17,e43ce97a1c,
ity3p3sqpge9svhu2oity3p33m4ki6f7,35-44,Male,England,Urban,Postgraduate,Student,,"Less than £20,000",Rarely,Weekly,Weekly,Yes,Yes,No,Bitcoin,Ethereum,,Binance Coin (BNB),,,,,,Revolut,,,,No,,,,,,,,,,,,,,Rarely,Hedging against inflation,Lack of knowledge or understanding,,Volatility of prices,,,,Bitcoin,Ethereum,,Binance Coin (BNB),,,,,,Revolut,,,,Bitcoin,Ethereum,,Binance Coin (BNB),,,,,,,,,,,,Security,,,Very High,Very High,Very High,Very High,Very High,No,High,Very High,Very High,Very High,High,No,Neutral,Neutral,Neutral,Disagree,Neutral,High,Agree,Neutral,None,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,completed,2024-08-29 14:11:35,,2024-08-29 14:59:57,48b6e6e105,
0qpypy51xr90m39kw0qpy92ovjjoei28,25-34,Female,Not in the UK,Urban,Postgraduate,Professional/Managerial,,"Less than £20,000",Daily,Weekly,Weekly,Yes,Yes,No,Bitcoin,Ethereum,,Binance Coin (BNB),,,,,,,,BitPay,,Yes,Bitcoin,,,,,,,,,,,,,Monthly,Investing,,Security concerns,Volatility of prices,,,,Bitcoin,Ethereum,,Binance Coin (BNB),,,,,,,,BitPay,,,,Tether (USDT),,,,,,,,,,,,,,Potential for high returns,,Neutral,Low,Neutral,High,Neutral,,High,High,High,High,High,,Neutral,Neutral,Neutral,Neutral,Neutral,High,Agree,Agree,,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Strongly agree,Agree,completed,2024-08-29 13:33:01,,2024-08-29 13:51:28,75c7f72af6,
